A76	50 A76	# ੶ => P੶
AF0	50 AF0	# ૰ => P૰
C77	50 C77	# ౷ => P౷
C84	50 C84	# ಄ => P಄
DF4	50 DF4	# ෴ => P෴
E4F	50 E4F	# ๏ => P๏
E5A	50 E5A	# ๚ => P๚
E5B	50 E5B	# ๛ => P๛
F04	50 F04	# ༄ => P༄
F05	50 F05	# ༅ => P༅
F06	50 F06	# ༆ => P༆
F07	50 F07	# ༇ => P༇
F08	50 F08	# ༈ => P༈
F09	50 F09	# ༉ => P༉
F0A	50 F0A	# ༊ => P༊
F0B	50 F0B	# ་ => P་
F0C	50 F0C	# ༌ => P༌
F0D	50 F0D	# ། => P།
F0E	50 F0E	# ༎ => P༎
F0F	50 F0F	# ༏ => P༏
F10	50 F10	# ༐ => P༐
F11	50 F11	# ༑ => P༑
F12	50 F12	# ༒ => P༒
F14	50 F14	# ༔ => P༔
F3A	50 F3A	# ༺ => P༺
F3B	50 F3B	# ༻ => P༻
F3C	50 F3C	# ༼ => P༼
F3D	50 F3D	# ༽ => P༽
F85	50 F85	# ྅ => P྅
FD0	50 FD0	# ࿐ => P࿐
FD1	50 FD1	# ࿑ => P࿑
FD2	50 FD2	# ࿒ => P࿒
FD3	50 FD3	# ࿓ => P࿓
FD4	50 FD4	# ࿔ => P࿔
FD9	50 FD9	# ࿙ => P࿙
FDA	50 FDA	# ࿚ => P࿚
104A	50 104A	# ၊ => P၊
104B	50 104B	# ။ => P။
104C	50 104C	# ၌ => P၌
104D	50 104D	# ၍ => P၍
104E	50 104E	# ၎ => P၎
104F	50 104F	# ၏ => P၏
10A0	55 2D00	# Ⴀ => Uⴀ
10A1	55 2D01	# Ⴁ => Uⴁ
10A2	55 2D02	# Ⴂ => Uⴂ
10A3	55 2D03	# Ⴃ => Uⴃ
10A4	55 2D04	# Ⴄ => Uⴄ
10A5	55 2D05	# Ⴅ => Uⴅ
10A6	55 2D06	# Ⴆ => Uⴆ
10A7	55 2D07	# Ⴇ => Uⴇ
10A8	55 2D08	# Ⴈ => Uⴈ
10A9	55 2D09	# Ⴉ => Uⴉ
10AA	55 2D0A	# Ⴊ => Uⴊ
10AB	55 2D0B	# Ⴋ => Uⴋ
10AC	55 2D0C	# Ⴌ => Uⴌ
10AD	55 2D0D	# Ⴍ => Uⴍ
10AE	55 2D0E	# Ⴎ => Uⴎ
